"Data Import Template"
"Table:","Roll Production Entry"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Roll Production Entry","","","","","","","~","Roll Production Entry Item","items","","","","","","","","","","","","","","",""
"Column Labels:","ID","Created On","Created By","Shaft Production Run","Production Plan","Status","Manufacturing Entries","","ID","Roll No","Meter/Roll","Net Weight","Created On","Created By","Job No","Shaft Combination","Planned Qty (KG)","Order Code","Work Order","Item Code","Item Name","GSM","Width (Inches)","Batch No","Gross Weight"
"Column Name:","name","creation","owner","shaft_production_run","production_plan","status","manufacturing_entries","~","name","roll_no","meter_per_roll","net_weight","creation","owner","job_no","shaft_combination","planned_qty","order_code","wo_id","item_code","item_name","gsm","width_inches","batch_no","gross_weight"
"Mandatory:","Yes","No","No","No","No","No","No","","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Datetime","Link","Link","Link","Select","Small Text","","Data","Data","Float","Float","Datetime","Link","Data","Data","Float","Data","Link","Link","Data","Int","Float","Link","Float"
"Info:","","dd-mm-yyyy","Valid User","Valid Shaft Production Run","Valid Production Plan","One of: Draft, Submitted, Cancelled","","","","","","","dd-mm-yyyy","Valid User","","","","","Valid Work Order","Valid Item","","Integer","","Valid Batch",""
"Start entering data below this line"
"","""01q5mst184""","2026-02-05 16:11:49.289543","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""02kkovaj25""","2026-02-04 16:33:17.235412","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""02o7l2dsht""","2026-02-05 16:13:25.557523","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""14d5u04rea""","2026-02-04 12:03:14.143467","gowthamjsb@gmail.com","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""1m05fr047a""","2026-02-05 15:51:39.745867","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""1pfpfv8dii""","2026-02-05 12:19:09.727162","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""23ps0adavj""","2026-02-05 13:31:22.829073","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""25mnlp2il3""","2026-02-04 14:49:17.492997","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""2pvadjbl47""","2026-02-05 18:42:17.022681","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""39s77qdaur""","2026-02-05 12:47:07.950950","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""47mlo6e8fd""","2026-02-05 16:21:52.418154","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""4dega4q2qq""","2026-02-05 18:20:54.478675","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""4dega4q2qq-1""","2026-02-05 18:31:33.890839","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""4dega4q2qq-2""","2026-02-05 18:33:00.315464","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""4dega4q2qq-3""","2026-02-05 18:35:55.018843","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""58hmp121qa""","2026-02-05 13:39:28.649290","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""5knpu2vhun""","2026-02-03 18:18:50.409975","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""69raemd748""","2026-02-05 18:14:45.818870","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""7n8c2ufmfn""","2026-02-04 12:35:24.459518","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""7q5ipbvp0f""","2026-02-06 17:27:57.004468","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""8q0oe8m9a2""","2026-02-05 15:58:31.128277","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""92pjfi7rfj""","2026-02-04 12:55:05.924735","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""93167e0ia2""","2026-02-04 11:06:16.665871","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""9c6aelcapj""","2026-02-05 12:51:05.048822","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""b75pm2p1m3""","2026-02-05 19:04:48.925651","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""b7mfg90h86""","2026-02-04 18:31:08.678492","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""bng2045pip""","2026-02-04 09:51:58.643117","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""c28fs1jb5k""","2026-02-03 19:36:31.936987","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""cvs2dhuhba""","2026-02-05 18:52:21.040355","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""e5ta8b9p9d""","2026-02-04 17:33:29.086105","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""f3ate4u0v6""","2026-02-04 18:23:42.145996","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""fevu2r5o5i""","2026-02-04 17:48:59.050399","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""fgqphi8soa""","2026-02-04 11:29:49.753836","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
